id,name,Total XP
3934,Yoda,15
3935,Atila,15
5697,Daredevil,15
1012,Super-Buffalo Vietnam,15
1838,Super-Alcoholism Vietnam,15
1840,Super-Dragon Vietnam,15
1961,Julius,15
2270,Caesar,15
3168,Charlemagne,15
474,Titan,15
6884,Super-Woman VietNam,15
7486,Aura,15
7487,Daice,15
7488,Rngesus,15
7617,Vesuvius,15
7717,Super-Man VietNam,15
7822,Ultra Rare,15
7824,BestFren,15
3931,Khaleesi,15
3932,E.T.,15
4336,Legolas,15
753,Joker,15
7953,Doraemon,15
8607,Chewbacca,15
2178,Laendlescholar.tk VesLink,15
2396,Laendlescholar.tk Ethyst,15
3557,Laendlescholar.tk UnifoX,15
552,Laendlescholar.tk Ecchi,15
9878,Laendlescholar.tk foXchi,15
1884,Catwoman,15
5446,Aquaman,15
1367,e,15
1457,Andy Warhol,15
1962,Wu,15
3782,2,15
4944,b,15
5560,Aegon,15
581,&,15
5903,VB,15
6153,MURAT PAK,15
6208,Wolfgang Amadeus Mozart,15
6239,#,15
7199,SOULJABOY,15
7201,TEH MANDALORIAN,15
7203,GROGU,15
7377,Coco Chanel,15
7562,^,15
7563,3,15
7885,?,15
789,Napoleon Bonaparte,15
8474,Champ,15
8615,Indira Gandhi,15
8823,Super-Kid Vietnam,15
9450,Liam,15
9673,MONTY PYTHON,15
1780,Alf,15
922,Han Solo,15
1133,Pinky Peabrains,15
2739,<,15
2898,Joey,15
2909,Mephisto,15
4106,Mao Zedong,15
5084,Get Low,15
7661,Ivy,15
8064,%,15
817,Malcolm Crowe,15
8790,Diana Frances Spencer,15
9751,Super-Fox Vietnam,15
9817,Zuul,15
9818,No-Face,15
9819,BASHFUL,15
9983,Mo,15
7823,BlueDaisWhiteDragon,15
1668,Super-Bitcoin Vietnam,15
1836,Super-Miner Vietnam,15
1860,AAVEG0TCHI VIETNAM IOTA,15
2054,C-3PO,15
267,Mary Poppins,15
3933,Achilles,15
4301,AAVEGOTCHI VIETNAM I0TA,15
4302,AAVEG0TCHI VIETNAM I0TA,15
4357,AAVEG0TCHI VIETNAM MI0TA,15
9780,AAVEGOTCHI VIETNAM IOTA,15
9832,Valhalla,15
8612,Unity,15
2245,v3,15
3218,Tangerine,15
4659,1000EOY,15
5037,My Linky Stays Stinky,15
4605,Laendlescholar.tk Lether,15
6154,@PRANKSY,15
7820,Daihard,15
7821,PinkLink,15
2582,KING MAGE,15
3815,Ex,15
4069,Mother Teresa,15
4156,Chester Bennington,15
4797,ADMIRAL,15
5232,AAGENT ETH,15
5796,LADY DIANA,15
7031,HIGH SCORE EYES,15
7089,AAVEGOTCHI VIETNAM MIOTA,15
2504,Dingus,15
2800,Dr. Malcolm Crowe,15
5883,No Future,15
661,No Futuristic,15
7236,Challenger,15
2888,Charles Darwin,15
2967,Ron Paul,15
3084,Um,15
3727,Aveda,15
4685,Pump,15
5702,Adam Sandler,15
6155,@TIMTIME,5
6683,We,15
6963,Beelzebub,15
7026,Eric Cartman,15
7030,Avicii,15
7204,Louis Vuitton,15
7936,Mr.Yfi,15
810,Io,15
8364,BoJack Horseman,15
9248,Red Indian,15
2812,kenymccornick,15
3397,Clint Eastwood,15
6012,CryptoLover,15
9803,2 Legit 2 Quit,15
5583,Inquisitor,15
6558,Ragnar Lothbrok,15
7689,Time,15
8069,Agricola Pecuniae Cryptis,15
1844,Link Frog,15
3044,Captain JSON Parser,15
5562,Lil Link,15
870,Charmander,15
1703,Winner,15
2680,Uncle Betty,15
4239,Rupert Thundercheeks,15
4528,Tyrone Biggums,15
4867,Lady Marmalade,15
6670,Dr. Manhattan,15
7058,Dmitri Mendeleev,15
7687,Al Capone,15
8013,Snickers,15
9793,Big Money,15
1735,Invoker,15
1868,Cheapest 532 BRS 775 XP,15
1986,572 BRS + 770 XP,15
5701,MYTHICAL EYES 99 LEVEL 4,15
6233,MacGyver,15
6394,Cheapest 540_99.91 eyes,15
7426,#ERROR!,15
1470,Wagwan,15
1802,Squinty,15
3424,rekt,15
3425,VitalikButerin,15
3441,Cherry's Fault,15
3442,SergeyNazarov,15
4394,SmartContract,15
5907,Deal with it,15
6147,JAG DE BELLOUET,15
7067,PRETTY PRETTY GOOD,15
7369,Help! I'm being held as a,15
7832,ELIXIR,15
8929,gg,15
9145,Dip,15
9816,Vigo,15
47,Ingve,15
2699,Scrooger,15
2799,Frikkie,15
3121,Musk-eteer,15
2463,Martin Luther King Jr.,15
3116,NUMBER GO UP,15
3423,ElonMusk,15
3430,dex,15
3433,Doxy,15
3434,Bo,15
3435,MissBehavin,15
3443,AndreCronje,15
6305,Birdperson,15
6307,Glootie,15
6308,Rick,15
6946,Marie Curie,15
7293,Summer,15
9097,Morty,15
3724,2pac,15
9398,Elon Gotchi,15
2501,Tokyo,15
3169,Faust,15
3253,King Flippy Nips,15
3659,Degenerate,15
4095,Jacques-Yves Cousteau,15
4565,Jerry,15
4638,Akira,15
4698,Space Beth,15
4948,Peter Quint,15
5152,Aavocado,15
5682,Duke,15
6447,Barbie,15
6477,Gotchimon,15
9760,Joseph Stalin,15
9815,STAR PLATINUM,15
3868,SP00KY,15
3152,Pythagoras,15
7209,Donald Duck,15
9338,Zarathustra,15
9371,Mr. Krabs,15
1124,EXP BOOST 05,15
1368,Layer 2 Stomper,15
1425,VIETNAM NO.1,15
2793,HAVANA CLUB,15
3427,Lindsey Lohan,15
3440,HaydenAdams,15
5068,EXP BOOST 03,15
5993,BACARDI,15
5997,DON PAPA,15
5998,CLEMENT,15
5999,DIPLOMATICO,15
6129,Tonga,15
6562,Guardian Stomper,15
7663,Grumpy Stomper,15
8166,EXP BOOST 06,15
9396,Shaman Stomper,15
9802,Drunken Stomper,15
9831,EXP BOOST 04,15
1852,PERFECT,15
2100,Grabber By The Gotchi,15
2101,Lord Bogdanoff,15
2102,Boobies,15
4441,@GOTCHIGANG,15
9250,LUCIFER,15
2588,Wella,15
2750,ELFO,15
2945,latecomer,15
3237,Dr. Helmut Strouker,15
3538,Moon,15
3539,King,15
3541,@MoonGotchi,15
3542,Chainlink,15
3572,Badoo,15
396,No Doubt,15
4078,ARGONAUT,15
4125,Rand al'Thor,15
4639,Pan,15
4650,Luka Doncic,15
4735,Moiraine,15
4807,131 KINDSHIP Full LEGEND,15
5025,Winklevoss Sucks,15
5684,Eazy-E,15
6828,108 kindship full legend,15
684,Luka,15
6843,Sex Pistols,15
9958,UNIQUE,15
5645,HE,15
8545,Nezuko-chan,15
6265,SergeyNakamoto,15
6266,LinkPool,15
3372,Vlaad,15
4314,Avalon,15
4895,Umeshu,15
728,@binance,15
1768,MR. SANDMAN,15
5053,DREAMFYRE,15
8296,JIRO ONO,15
9354,KITSUNE,15
1669,LASER,15
1709,MAGIC,15
1710,TRIPPY,15
1711,MONEY,15
2529,DeFi Degen 540,15
2667,Gon,15
2740,Vagina,15
2792,CHARETTE,15
3357,+EV,15
3989,ESTHER,15
4660,Army,15
4838,VIETNAM NO.2,15
5032,EXP BOOST 02,15
5995,DILLON,15
6058,Balenciaga,15
6163,El Salvador,15
6204,Dumbass,15
6350,Aavesome,15
6443,hobbit,15
7025,...and this little piggy,15
7312,VIETNAM BEST ARS,15
7658,Butthole,15
7908,MAIN,15
8044,EXP BOOST 31,15
8218,Wiz,15
8590,Ceremony,15
8623,@letsgobankless,15
8797,Frankengotchi,15
8891,WIFI,15
9349,Elf Stomper,15
1583,Aave Ceasar,15
1584,Pickle Rick,15
3072,Boo Burnham,15
8303,@ETHEREUM,15
3865,Nonviolent,15
1447,EXP BOOST 11,15
3487,EXP BOOST 09,15
5681,Iceberg Slim,15
598,Cartier,15
6125,EXP BOOST 17,15
6128,Haku,15
8776,EXP BOOST 07,15
9862,EXP BOOST 08,15
2324,Gotchi Gang Germany,15
2854,Akon,15
9808,PlanB,15
1015,Keanu Reeves,15
1016,Devoted Lieutenant Dan,15
1017,Vladimir Bootin,15
509,Tim Dillon,15
1195,Game of Life,15
1481,VIETNAM KINSHIP 02,15
1712,DESTINY,15
2500,Dune,15
2502,ReBoot,15
3835,Pringles,15
4636,Dio,15
4640,Krug,15
4749,Butterfinger,15
5016,Margaret Thatcher,15
5420,Bentley,15
5737,Ken,15
6000,ZACAPA,15
6136,HEIMDALL,15
8167,Minako,15
8567,Axolotl,15
8621,DAMOISEAU,15
8622,BIELLE,15
8624,Abuelo,15
9643,Dai Lama,15
201,@uniswap,15
2795,Plantation,15
2846,Elijah Wood,15
2850,Jenifer Aniston,15
5383,@BITCOIN,15
5996,Santa Teresa,15
6001,El Dorado,15
7055,bit,15
8625,Ryoma,15
5075,BRETAGNE,15
6131,Orangina,15
